epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5153,2.28345,4.04005,1.27446,0.76324,0.06758,0.0618,0.03335,2.23515,2.9907,1.16134,0.000195279,0.000195279,0.000195279
2,127.988,2.32256,3.04071,1.16405,0.63454,0.09923,0.08691,0.04719,2.1982,2.54987,1.10746,0.000383532,0.000383532,0.000383532
3,188.578,2.26537,2.65767,1.13767,0.48507,0.11965,0.09102,0.04964,2.13854,2.27997,1.08973,0.000564023,0.000564023,0.000564023
4,246.351,2.22162,2.46781,1.11903,0.41448,0.12803,0.13377,0.0783,2.08384,2.11259,1.08571,0.000553073,0.000553073,0.000553073
5,304.133,2.17239,2.39139,1.10813,0.44972,0.15719,0.15595,0.08913,2.02303,2.04385,1.07259,0.00054143,0.00054143,0.00054143
6,365.439,2.12431,2.20709,1.09769,0.10123,0.26038,0.13752,0.08198,1.97725,1.98323,1.06553,0.000529788,0.000529788,0.000529788
7,422.742,2.11004,2.18275,1.09491,0.20041,0.22545,0.16369,0.09886,1.97548,1.90016,1.0593,0.000518146,0.000518146,0.000518146
8,482.558,2.08268,2.11409,1.08562,0.31602,0.21586,0.16412,0.09816,1.96,1.89166,1.0551,0.000506503,0.000506503,0.000506503
9,541.179,2.05629,2.06265,1.07322,0.36493,0.24737,0.18838,0.1145,1.91465,1.80599,1.04881,0.000494861,0.000494861,0.000494861
10,598.721,2.03697,1.99827,1.05966,0.3888,0.259,0.2114,0.1291,1.93165,1.78089,1.03731,0.000483218,0.000483218,0.000483218
11,660.495,2.01902,1.9505,1.05926,0.52296,0.29319,0.24293,0.15114,1.88292,1.74089,1.03707,0.000471576,0.000471576,0.000471576
12,719.277,2.01024,1.94203,1.05583,0.55864,0.28462,0.245,0.15262,1.86304,1.70863,1.03235,0.000459934,0.000459934,0.000459934
13,776.555,1.98558,1.91192,1.05932,0.62461,0.28054,0.27858,0.17377,1.98415,1.70018,1.05077,0.000448291,0.000448291,0.000448291
14,834.017,1.96361,1.85816,1.04978,0.59875,0.27406,0.26836,0.16258,1.91263,1.66283,1.03827,0.000436649,0.000436649,0.000436649
15,893.404,1.95658,1.85252,1.04253,0.6087,0.28554,0.28613,0.18589,1.85113,1.65577,1.03152,0.000425006,0.000425006,0.000425006
16,952.238,1.93211,1.81409,1.04458,0.6276,0.26941,0.28544,0.1849,1.81902,1.64874,1.03713,0.000413364,0.000413364,0.000413364
17,1013.28,1.94035,1.80315,1.04153,0.49459,0.30598,0.29433,0.19223,1.81843,1.59343,1.02302,0.000401722,0.000401722,0.000401722
18,1071.49,1.94522,1.76491,1.03352,0.49577,0.34543,0.31566,0.20602,1.80453,1.56618,1.0172,0.000390079,0.000390079,0.000390079
19,1129.33,1.92129,1.75119,1.03667,0.52223,0.33501,0.33506,0.21577,1.81053,1.54863,1.01561,0.000378437,0.000378437,0.000378437
20,1190.92,1.93244,1.73733,1.03899,0.52431,0.34256,0.33312,0.21702,1.79005,1.55929,1.01745,0.000366794,0.000366794,0.000366794
21,1247.43,1.88131,1.71068,1.01895,0.46313,0.34926,0.33922,0.22385,1.7888,1.52607,1.01351,0.000355152,0.000355152,0.000355152
22,1304.14,1.88961,1.67092,1.03288,0.44345,0.35261,0.34049,0.22162,1.78374,1.51577,1.0126,0.00034351,0.00034351,0.00034351
23,1364.12,1.89006,1.67563,1.02667,0.36414,0.35969,0.34318,0.22438,1.76267,1.49872,1.01301,0.000331867,0.000331867,0.000331867
